Temat,Lokalizacja,Data rozpoczêcia,Czas rozpoczêcia,Data zakoñczenia,Czas zakoñczenia,Przypomnienie w³./wy³.,Data przypomnienia,Czas przypomnienia
Jêzyki i techniki programowania (L) [7],233 S,2019-05-14,17:35,2019-05-14,19:10,Fa³sz,2019-05-14,17:35
Jêzyki i techniki programowania (L) [8],233 S,2019-05-14,19:25,2019-05-14,21:00,Fa³sz,2019-05-14,19:25
Jêzyki i techniki programowania (w) [5],314 S,2019-05-16,09:50,2019-05-16,11:25,Fa³sz,2019-05-16,09:50
Modelowanie matematyczne (æ) [5],307 S,2019-05-16,15:45,2019-05-16,17:20,Fa³sz,2019-05-16,15:45
Systemy wbudowane (L) [7],09 65,2019-05-16,17:35,2019-05-16,19:10,Fa³sz,2019-05-16,17:35
Systemy wbudowane (L) [8],09 65,2019-05-16,19:25,2019-05-16,21:00,Fa³sz,2019-05-16,19:25
Jêzyk obcy (II) miêdzywydzia³owy (æ) [10],231 K,2019-05-16,,2019-05-16,,Fa³sz,2019-05-16,
Podstawy zarz¹dzania (w) [6],314 S,2019-05-17,08:00,2019-05-17,09:35,Fa³sz,2019-05-17,08:00
In¿ynieria oprogramowania (L) [8],239 S,2019-05-17,09:50,2019-05-17,11:25,Fa³sz,2019-05-17,09:50
In¿ynieria oprogramowania (L) [9],239 S,2019-05-17,11:40,2019-05-17,13:15,Fa³sz,2019-05-17,11:40
Programowanie wspolbie¿ne (p) [3],223 S,2019-05-20,09:50,2019-05-20,11:25,Fa³sz,2019-05-20,09:50
Programowanie wspolbie¿ne (p) [4],223 S,2019-05-20,11:40,2019-05-20,13:15,Fa³sz,2019-05-20,11:40
Jêzyk angielski (æ) [11],125 K  120 K  121 K  124 K  126 K  133 K  134 K,2019-05-20,13:30,2019-05-20,15:05,Fa³sz,2019-05-20,13:30
Programowanie wspolbie¿ne (w) [6],313 S,2019-05-20,15:45,2019-05-20,17:20,Fa³sz,2019-05-20,15:45
Programowanie wspolbie¿ne (L) [9],236 S,2019-05-21,08:00,2019-05-21,09:35,Fa³sz,2019-05-21,08:00
Programowanie wspolbie¿ne (L) [10],236 S,2019-05-21,09:50,2019-05-21,11:25,Fa³sz,2019-05-21,09:50
Systemy wejœcia-wyjœcia komputerów (L) [5],011 65,2019-05-21,11:40,2019-05-21,13:15,Fa³sz,2019-05-21,11:40
Systemy wejœcia-wyjœcia komputerów (L) [6],011 65,2019-05-21,13:30,2019-05-21,15:05,Fa³sz,2019-05-21,13:30
Modelowanie matematyczne (æ) [6],307 S,2019-05-23,13:30,2019-05-23,15:05,Fa³sz,2019-05-23,13:30
Jêzyk obcy (II) miêdzywydzia³owy (æ) [11],231 K  232 K  233 K,2019-05-23,17:35,2019-05-23,19:10,Fa³sz,2019-05-23,17:35
Sieci komputerowe (L) [10],121 65,2019-05-24,13:30,2019-05-24,15:05,Fa³sz,2019-05-24,13:30
Sieci komputerowe (L) [11],121 65,2019-05-24,15:45,2019-05-24,17:20,Fa³sz,2019-05-24,15:45
Sieci komputerowe (L) [12],120 65,2019-05-27,09:50,2019-05-27,11:25,Fa³sz,2019-05-27,09:50
Sieci komputerowe (L) [13],120 65,2019-05-27,11:40,2019-05-27,13:15,Fa³sz,2019-05-27,11:40
Jêzyk angielski (æ) [12],125 K  120 K  121 K  124 K  126 K  133 K  134 K,2019-05-27,13:30,2019-05-27,15:05,Fa³sz,2019-05-27,13:30
Sieci komputerowe (L) [14],120 65,2019-05-28,15:45,2019-05-28,17:20,Fa³sz,2019-05-28,15:45
Sieci komputerowe (L) [15],120 65,2019-05-28,17:35,2019-05-28,19:10,Fa³sz,2019-05-28,17:35
Systemy wejœcia-wyjœcia komputerów (w) [10],314 S,2019-05-30,11:40,2019-05-30,13:15,Fa³sz,2019-05-30,11:40
Modelowanie matematyczne (æ) [7],307 S,2019-05-30,13:30,2019-05-30,15:05,Fa³sz,2019-05-30,13:30
Jêzyk obcy (II) miêdzywydzia³owy (æ) [12],231 K  232 K  233 K,2019-05-30,17:35,2019-05-30,19:10,Fa³sz,2019-05-30,17:35
Jêzyk obcy (II) miêdzywydzia³owy (æ) [13],231 K,2019-05-30,,2019-05-30,,Fa³sz,2019-05-30,
In¿ynieria oprogramowania (L) [10],239 S,2019-05-31,09:50,2019-05-31,11:25,Fa³sz,2019-05-31,09:50
In¿ynieria oprogramowania (L) [11],239 S,2019-05-31,11:40,2019-05-31,13:15,Fa³sz,2019-05-31,11:40
Podstawy zarz¹dzania (æ) [2],201 65,2019-05-31,13:30,2019-05-31,15:05,Fa³sz,2019-05-31,13:30
Podstawy zarz¹dzania (æ) [3],205 65,2019-06-03,09:50,2019-06-03,11:25,Fa³sz,2019-06-03,09:50
Jêzyk angielski (æ) [13],125 K  120 K  121 K  124 K  126 K  133 K  134 K,2019-06-03,13:30,2019-06-03,15:05,Fa³sz,2019-06-03,13:30
Modelowanie matematyczne (æ) [8],307 S,2019-06-06,11:40,2019-06-06,13:15,Fa³sz,2019-06-06,11:40
